,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
327,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,1-2,"0-10,000",5000
329,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
330,Male,35-39,India,Bachelor’s degree,Engineering (non-computer focused),Manager,Computers/Technology,0-1,"30-40,000",35000
331,Male,22-24,India,Bachelor’s degree,"Information technology, networking, or system administration",Other,Broadcasting/Communications,0-1,"0-10,000",5000
333,Male,22-24,China,Master’s degree,Mathematics or statistics,Data Engineer,Online Service/Internet-based Services,2-3,"10-20,000",15000
334,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Academics/Education,0-1,"0-10,000",5000
335,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Retail/Sales,0-1,"0-10,000",5000
337,Male,18-21,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"0-10,000",5000
338,Male,18-21,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
339,Male,35-39,India,Master’s degree,Engineering (non-computer focused),Salesperson,Computers/Technology,10-15,"70-80,000",75000
340,Male,35-39,India,Master’s degree,Mathematics or statistics,Software Engineer,Broadcasting/Communications,10-15,"0-10,000",5000
341,Female,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Computers/Technology,1-2,"0-10,000",5000
345,Male,35-39,India,Doctoral degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,10-15,"20-30,000",25000
347,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,1-2,"10-20,000",15000
348,Male,40-44,China,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Academics/Education,10-15,"10-20,000",15000
349,Female,22-24,India,Master’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
351,Male,25-29,India,Bachelor’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,3-4,"0-10,000",5000
358,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,2-3,"10-20,000",15000
359,Male,25-29,India,Professional degree,Engineering (non-computer focused),Data Scientist,Energy/Mining,1-2,"0-10,000",5000
360,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Other,1-2,"0-10,000",5000
361,Male,30-34,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"30-40,000",35000
362,Male,18-21,India,Master’s degree,Engineering (non-computer focused),Student,I am a student,,"0-10,000",5000
365,Male,40-44,India,Master’s degree,Environmental science or geology,Data Analyst,Non-profit/Service,1-2,"0-10,000",5000
366,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Other,3-4,"20-30,000",25000
367,Male,35-39,India,Master’s degree,Physics or astronomy,Data Scientist,Computers/Technology,0-1,"0-10,000",5000
368,Male,18-21,India,Some college/university study without earning a bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,2-3,"0-10,000",5000
370,Male,35-39,India,Bachelor’s degree,Engineering (non-computer focused),Manager,Computers/Technology,5-10,"50-60,000",55000
375,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
376,Male,18-21,India,Master’s degree,Other,Student,I am a student,0-1,"0-10,000",5000
377,Female,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
379,Male,50-54,India,Professional degree,Mathematics or statistics,Data Analyst,Computers/Technology,25-30,"70-80,000",75000
381,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,2-3,"0-10,000",5000
382,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Retail/Sales,0-1,"50-60,000",55000
383,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
384,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Academics/Education,1-2,"0-10,000",5000
385,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
389,Male,60-69,India,Master’s degree,Mathematics or statistics,Other,Other,5-10,"0-10,000",5000
390,Male,30-34,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Computers/Technology,1-2,"0-10,000",5000
393,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,10-15,"0-10,000",5000
395,Female,25-29,India,Professional degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"0-10,000",5000
397,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
398,Male,22-24,India,Professional degree,Other,Software Engineer,Computers/Technology,3-4,"0-10,000",5000
401,Male,35-39,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Broadcasting/Communications,10-15,"10-20,000",15000
402,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
405,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
406,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"10-20,000",15000
408,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
410,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Data Analyst,Marketing/CRM,0-1,"10-20,000",15000
412,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Retail/Sales,5-10,"30-40,000",35000
416,Male,35-39,India,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Computers/Technology,3-4,"10-20,000",15000
417,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",DBA/Database Engineer,Computers/Technology,0-1,"0-10,000",5000
418,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
419,Male,40-44,India,Master’s degree,Engineering (non-computer focused),Statistician,Energy/Mining,1-2,"10-20,000",15000
420,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Medical/Pharmaceutical,3-4,"10-20,000",15000
422,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
425,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,1-2,"0-10,000",5000
427,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Insurance/Risk Assessment,0-1,"10-20,000",15000
428,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
429,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,20-25,"20-30,000",25000
430,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
431,Male,30-34,India,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Government/Public Service,1-2,"10-20,000",15000
433,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Medical/Pharmaceutical,1-2,"0-10,000",5000
434,Male,18-21,India,Bachelor’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,"0-10,000",5000
435,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,0-1,"0-10,000",5000
437,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Chief Officer,Online Service/Internet-based Services,3-4,"10-20,000",15000
439,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Other,Other,3-4,"10-20,000",15000
440,Male,35-39,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,5-10,"40-50,000",45000
442,Male,18-21,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"0-10,000",5000
443,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,0-1,"0-10,000",5000
446,Male,25-29,China,Doctoral degree,"Information technology, networking, or system administration",Data Scientist,Computers/Technology,4-5,"10-20,000",15000
448,Male,18-21,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
449,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,1-2,"0-10,000",5000
451,Male,35-39,India,Doctoral degree,"Computer science (software engineering, etc.)",Manager,Computers/Technology,2-3,"20-30,000",25000
453,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,2-3,"0-10,000",5000
454,Male,35-39,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,10-15,"20-30,000",25000
456,Male,35-39,India,Master’s degree,Mathematics or statistics,Software Engineer,Computers/Technology,10-15,"10-20,000",15000
457,Female,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
458,Male,30-34,India,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,1-2,"0-10,000",5000
459,Male,40-44,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,15-20,"150-200,000",175000
463,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,10-15,"0-10,000",5000
464,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,1-2,"10-20,000",15000
465,Male,30-34,China,I prefer not to answer,"Computer science (software engineering, etc.)",Software Engineer,Manufacturing/Fabrication,4-5,"30-40,000",35000
466,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
467,Male,25-29,India,Doctoral degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,3-4,"0-10,000",5000
468,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Medical/Pharmaceutical,0-1,"0-10,000",5000
469,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Computers/Technology,0-1,"0-10,000",5000
470,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Academics/Education,0-1,"0-10,000",5000
474,Male,35-39,India,Master’s degree,Physics or astronomy,Data Scientist,Computers/Technology,10-15,"30-40,000",35000
477,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,0-1,"10-20,000",15000
479,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,0-1,"0-10,000",5000
480,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Business Analyst,Online Service/Internet-based Services,2-3,"20-30,000",25000
481,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
484,Female,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"10-20,000",15000
485,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Data Engineer,Medical/Pharmaceutical,0-1,"10-20,000",15000
486,Male,30-34,India,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,3-4,"0-10,000",5000
487,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
488,Female,35-39,China,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Academics/Education,1-2,"0-10,000",5000
491,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
492,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Accounting/Finance,0-1,"0-10,000",5000
493,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
